id,citation,doi_url,brazil_grain_export,region_scope,element1_multiobjective,element2_seasonal_timevarying_capacity,element3_stochastic_disruption_recourse_cvar,method,data,notes
P01,"Marto, M.; Chkoniya, V.; Couto, E.B.; Pinto, T.M.P.; Agra, A.; Reis, M.S. (2026). A Biobjective Stochastic Model for Intermodal Supply Chains: Application to the Corn and Soybean Flows. Industrial & Engineering Chemistry Research 65(8), 4451-4470.",https://doi.org/10.1021/acs.iecr.5c02623,partial (BR as origin: Itaqui),Europe/North Africa distribution; Brazilian supply nodes,YES (bi-objective: expected cost vs CVaR; CO2 reported),NO (no seasonal/time-varying capacity),"YES (scenario-based stochastic demand+cost, CVaR constraints)","Two-stage stochastic MILP, bi-objective (EC / CVaR), scenario generation","Soy+corn trade flows, intermodal routes, port/terminal data for EU-N.Africa; Itaqui, Sines","CLOSEST on elements (1)+(3). Not MT inland corridors, no seasonality, disruptions are demand/cost uncertainty not link failures."
P02,"Reis, S.A. dos; Leal, J.E.; Thome, A.M.T. (2023). A Two-Stage Stochastic Linear Programming Model for Tactical Planning in the Soybean Supply Chain. Logistics 7(3), 49.",https://doi.org/10.3390/logistics7030049,YES,"Brazil (shipper/trader, national)",NO (single objective: profit),"PARTIAL (1-year tactical horizon, contracted road/rail volumes, harvest timing)","PARTIAL (2-stage stochastic LP with fixed recourse, 243 scenarios; uncertainty = spot prices, crop failure, demand; NO disruptions, NO CVaR)","Two-stage stochastic LP, fixed recourse",Brazilian soybean trading firm case; take-or-pay rail/road contracts,"CLOSEST Brazilian work on element (3). Recourse is contract/volume adjustment, not re-routing after link failure."
P03,"L'Her, G.F.; Schweikert, A.; Espinet, X.; de Melo, L.; Deinert, M.R. (2024). Transport Resilience and Adaptation to Climate Impacts - A Case Study on Agricultural Transport in Brazil. Studies in Computational Intelligence (Complex Networks), 243-250.",https://doi.org/10.1007/978-3-031-53503-1_20,YES,"Brazil, soybean export network",NO,NO,"PARTIAL (deterministic hazard/disruption scenarios with re-routing; cost impact >10% on main routes; no probabilities, no recourse policy, no CVaR)",Network/least-cost path analysis under link removal,"Brazilian road/rail/waterway network, soybean export routes","CLOSEST Brazilian work on disruption+re-routing. 8-page chapter, no stochastics or tail risk."
P04,"Garcia, B.T.G.; de Medeiros, A.S.; do Nascimento, F.A.C.; da Silva, M.A.V. (2022). Impact of Drought on the Life Cycle of Barge Transport. Civil Engineering Journal 8(12), 2693-2705.",https://doi.org/10.28991/cej-2022-08-12-02,YES,"Madeira river, MT/RO grain",NO,YES (convoy formation modelled as a function of river water level; 9-barge limit in drought vs full river),NO (deterministic drought vs full-river cases),LCA + operational simulation of convoy formation,"Madeira river 2021 grain loadings, water level series, fuel/CO2","Best Brazilian source for element (2) mechanics (water level -> capacity), but it is an LCA, not a routing/flow optimisation."
P05,"Naude, J. (2016). A multi-phase model to forecast congestion at Brazilian grain ports: a case study at the port of Paranagua. MSc thesis, Stellenbosch University.",http://hdl.handle.net/10019.1/98848,YES,Paranagua port,NO,YES (monthly seasonal variation of grain trade and evolving port capacity),"PARTIAL (Monte Carlo simulation of queues/waiting; no optimisation, no recourse, no CVaR)",LP + time-series forecasting + Monte Carlo + regression,Brazilian grain export volumes and Paranagua vessel queues 2011-2013,Element (2)+(partial 3) for the port node only; no corridor routing.
P06,"Reis, S.A. dos; Leal, J.E. (2015). A deterministic mathematical model to support temporal and spatial decisions of the soybean supply chain. Journal of Transport Geography 43, 48-58.",https://doi.org/10.1016/j.jtrangeo.2015.01.005,YES,Brazil,NO,"PARTIAL (multi-period: temporal decisions, harvest/storage)",NO,Deterministic MILP,"Brazilian soybean chain, road/rail/port",Baseline deterministic version of P02.
P07,"Marins, L.B.C.; Morabito, R.; Rocco, C.D. (2024). Modelling and optimizing the tactical planning of the corn supply chain considering domestic and export markets. Pesquisa Operacional 44, e273457.",https://doi.org/10.1590/0101-7438.2023.043.00273457,YES,"Brazil, corn",NO,"PARTIAL (multi-period tactical, extra stocking capacity contracting)",NO (deterministic scenario analysis),MILP,"Brazilian corn production, modes, taxes, storage",
P08,"Aliano Filho, A.; Rocco, C.D.; Morabito, R. (2024). Bi-objective model for tactical planning in corn supply chain considering CO2 balance. International Journal of Systems Science: Operations & Logistics 11(1), 2337442.",https://doi.org/10.1080/23302674.2024.2337442,YES,"Brazil, corn","PARTIAL (bi-objective cost vs CO2 balance, Pareto front; objectives are not time/risk)","PARTIAL (resource constraints, silo sizing, multi-period)",NO,"Bi-objective MILP, Pareto frontier","Brazilian corn chain, intermodal transport, silos","CLOSEST Brazilian work on element (1) (a true Pareto front), but objectives are cost+carbon."
P09,"de Morais, G.R.; Calil, Y.C.D.; de Oliveira, G.F.; Saldanha, R.R.; Maia, C.A. (2023). A Sustainable Location Model of Transshipment Terminals Applied to the Expansion Strategies of the Soybean Intermodal Transport Network in the State of Mato Grosso, Brazil. Sustainability 15(2), 1063.",https://doi.org/10.3390/su15021063,YES,Mato Grosso,"PARTIAL (weighted cost + CO2, 5 scenarios)",NO (static capacities),NO,Capacitated facility location MILP,"MT cities, road distances, existing terminals and capacities, waterway/railway proximity","Directly on the MT network; static, weighted-sum, deterministic."
P10,"Vieira, J.; Neuenfeldt Junior, A.; Coradi, P.C.; Araujo, O.; Alves, V. (2026). A Mathematical Model to Maximize the Pre-Processing, Storage, and Transportation Associated with Grain Flow in Brazil. Logistics 10(5), 99.",https://doi.org/10.3390/logistics10050099,YES,Brazil (RS case),NO,"YES (multi-period, multi-level; harvest and off-season storage/drying capacity)",NO,Multi-period multi-level MILP on a graph,"Producers, storage units, agribusiness, ports; three scenarios","Element (2) present as harvest/off-season periods, but no risk and no multi-objective."
