scenario,supply_kt,shipped_kt,avg_cost_brl_t,marginal_brl_t
base,250,250,541,541
base,500,500,541,541
base,750,750,554,579.9
base,1000,1000,560.5,579.9
base,1250,1250,564.3,579.9
base,1500,1500,566.9,579.9
base,1750,1750,570.4,591.1
base,2000,2000,573,591.1
base,2250,2250,575,591.1
base,2500,2500,576.6,591.1
base,2750,2750,577.9,591.1
base,3000,3000,579,591.1
base,3250,3250,579.9,591.1
base,3500,3500,581.4,634.1
base,3750,3750,584.9,634.1
base,4000,4000,589.7,696.3
base,4250,4250,595.9,696.3
base,4500,4500,601.5,696.3
base,4750,4750,606.5,696.3
base,5000,4890,609.1,1e+30
base,5250,4890,609.1,1e+30
base,5500,4890,609.1,1e+30
base,5750,4890,609.1,1e+30
base,6000,4890,609.1,1e+30
base,6250,4890,609.1,1e+30
base,6500,4890,609.1,1e+30
base,6750,4890,609.1,1e+30
base,7000,4890,609.1,1e+30
ferrograo,250,250,454,454
ferrograo,500,500,454,454
ferrograo,750,750,467,492.9
ferrograo,1000,1000,473.4,492.9
ferrograo,1250,1250,477.3,492.9
ferrograo,1500,1500,479.9,492.9
ferrograo,1750,1750,486.3,591.1
ferrograo,2000,2000,499.4,591.1
ferrograo,2250,2250,509.6,591.1
ferrograo,2500,2500,517.7,591.1
ferrograo,2750,2750,524.4,591.1
ferrograo,3000,3000,529.9,591.1
ferrograo,3250,3250,534.6,591.1
ferrograo,3500,3500,539,634.1
ferrograo,3750,3750,545.4,634.1
ferrograo,4000,4000,552.6,696.3
ferrograo,4250,4250,561.1,696.3
ferrograo,4500,4500,568.6,696.3
ferrograo,4750,4750,575.3,696.3
ferrograo,5000,4890,578.8,1e+30
ferrograo,5250,4890,578.8,1e+30
ferrograo,5500,4890,578.8,1e+30
ferrograo,5750,4890,578.8,1e+30
ferrograo,6000,4890,578.8,1e+30
ferrograo,6250,4890,578.8,1e+30
ferrograo,6500,4890,578.8,1e+30
ferrograo,6750,4890,578.8,1e+30
ferrograo,7000,4890,578.8,1e+30
both_rails,250,250,454,454
both_rails,500,500,454,454
both_rails,750,750,467,492.9
both_rails,1000,1000,473.4,492.9
both_rails,1250,1250,477.3,492.9
both_rails,1500,1500,479.9,492.9
both_rails,1750,1750,484.8,558.9
both_rails,2000,2000,494.1,558.9
both_rails,2250,2250,501.3,558.9
both_rails,2500,2500,507,558.9
both_rails,2750,2750,514.7,591.1
both_rails,3000,3000,521,591.1
both_rails,3250,3250,526.4,591.1
both_rails,3500,3500,531.4,634.1
both_rails,3750,3750,538.3,634.1
both_rails,4000,4000,546,696.3
both_rails,4250,4250,554.8,696.3
both_rails,4500,4500,562.7,696.3
both_rails,4750,4750,569.7,696.3
both_rails,5000,4890,573.3,1e+30
both_rails,5250,4890,573.3,1e+30
both_rails,5500,4890,573.3,1e+30
both_rails,5750,4890,573.3,1e+30
both_rails,6000,4890,573.3,1e+30
both_rails,6250,4890,573.3,1e+30
both_rails,6500,4890,573.3,1e+30
both_rails,6750,4890,573.3,1e+30
both_rails,7000,4890,573.3,1e+30
ports_x1.5,250,250,541,541
ports_x1.5,500,500,541,541
ports_x1.5,750,750,544.3,557.5
ports_x1.5,1000,1000,553.2,579.9
ports_x1.5,1250,1250,558.5,579.9
ports_x1.5,1500,1500,562.1,579.9
ports_x1.5,1750,1750,565.3,591.1
ports_x1.5,2000,2000,568.5,591.1
ports_x1.5,2250,2250,571,591.1
ports_x1.5,2500,2500,573,591.1
ports_x1.5,2750,2750,574.7,591.1
ports_x1.5,3000,3000,576,591.1
ports_x1.5,3250,3250,577.2,591.1
ports_x1.5,3500,3500,578.2,591.1
ports_x1.5,3750,3750,579.2,596.4
ports_x1.5,4000,4000,581,634.1
ports_x1.5,4250,4250,584.1,634.1
ports_x1.5,4500,4500,588.2,669
ports_x1.5,4750,4750,592.4,669
ports_x1.5,5000,5000,596.2,669
ports_x1.5,5250,5250,600.8,696.3
ports_x1.5,5500,5500,605.1,696.3
ports_x1.5,5750,5750,609.1,696.3
ports_x1.5,6000,6000,612.7,696.3
ports_x1.5,6250,6250,616.1,696.3
ports_x1.5,6500,6500,619.2,696.3
ports_x1.5,6750,6540,619.6,1e+30
ports_x1.5,7000,6540,619.6,1e+30
both_rails_ports_x1.5,250,250,454,454
both_rails_ports_x1.5,500,500,454,454
both_rails_ports_x1.5,750,750,461.8,492.9
both_rails_ports_x1.5,1000,1000,469.6,492.9
both_rails_ports_x1.5,1250,1250,474.2,492.9
both_rails_ports_x1.5,1500,1500,477.3,492.9
both_rails_ports_x1.5,1750,1750,479.6,492.9
both_rails_ports_x1.5,2000,2000,488.7,558.9
both_rails_ports_x1.5,2250,2250,496.5,558.9
both_rails_ports_x1.5,2500,2500,502.7,558.9
both_rails_ports_x1.5,2750,2750,507.8,558.9
both_rails_ports_x1.5,3000,3000,514.8,591.1
both_rails_ports_x1.5,3250,3250,520.7,591.1
both_rails_ports_x1.5,3500,3500,525.7,591.1
both_rails_ports_x1.5,3750,3750,530,591.1
both_rails_ports_x1.5,4000,4000,534.7,634.1
both_rails_ports_x1.5,4250,4250,540.6,634.1
both_rails_ports_x1.5,4500,4500,547,669
both_rails_ports_x1.5,4750,4750,553.4,669
both_rails_ports_x1.5,5000,5000,559.2,669
both_rails_ports_x1.5,5250,5250,565.5,696.3
both_rails_ports_x1.5,5500,5500,571.5,696.3
both_rails_ports_x1.5,5750,5750,576.9,696.3
both_rails_ports_x1.5,6000,6000,581.9,696.3
both_rails_ports_x1.5,6250,6250,586.4,696.3
