origin,port,door_to_door_brl_t
North MT (Sorriso),Itaqui,1e+30
North MT (Sorriso),Itacoatiara,707.6
North MT (Sorriso),Barcarena,713.1
North MT (Sorriso),Santarem,633.3
North MT (Sorriso),Paranagua,806.4
North MT (Sorriso),Santos,723.4
Northeast MT (Canarana),Itaqui,757.4
Northeast MT (Canarana),Itacoatiara,1e+30
Northeast MT (Canarana),Barcarena,1e+30
Northeast MT (Canarana),Santarem,1e+30
Northeast MT (Canarana),Paranagua,734
Northeast MT (Canarana),Santos,677.3
Southeast MT (Primavera),Itaqui,1e+30
Southeast MT (Primavera),Itacoatiara,1e+30
Southeast MT (Primavera),Barcarena,1e+30
Southeast MT (Primavera),Santarem,1e+30
Southeast MT (Primavera),Paranagua,695.2
Southeast MT (Primavera),Santos,627.2
