scenario,month,port,nominal_brl_t,expected_brl_t,fixed_mean,fixed_p95,fixed_cvar95,fixed_max,adaptive_mean,adaptive_p95,adaptive_cvar95,adaptive_max
base,Jan,Santarem,505.3,511.5,512,540.9,624,1192.8,508.1,536.9,546,797.4
base,Feb,Santarem,541,547.4,547.7,577.1,660,1228.5,544.2,577.1,589.7,833.1
base,Mar,Santarem,541,547.4,547.7,577.1,660,1228.5,544.2,577.1,589.7,833.1
base,Apr,Santarem,539.8,542.7,542.9,546,599.7,1183.7,541.5,546,571.2,831.9
base,May,Santarem,507.7,510.6,510.7,513.9,567.6,1151.6,509.1,513.9,536.3,799.8
base,Jun,Santarem,504.1,506.9,506.9,506.5,561.9,1148,505.4,506.5,530.7,796.2
base,Jul,Santarem,504.1,506.9,506.9,506.5,561.9,1148,505.4,506.5,530.7,796.2
base,Aug,Santarem,504.1,506.9,506.9,506.5,561.9,1148,505.4,506.5,530.7,796.2
base,Sep,Santarem,506.2,509.7,509.7,513.2,576.2,1150.1,507.8,513.2,539.4,798.3
base,Oct,Santarem,506.2,509.7,509.7,513.2,576.2,1150.1,507.8,513.2,539.4,798.3
base,Nov,Santarem,506.2,509.7,509.7,513.2,576.2,1150.1,507.8,513.2,539.4,798.3
base,Dec,Santarem,505.3,511.5,512,540.9,624,1192.8,508.1,536.9,546,797.4
drought,Jan,Santarem,505.3,511.5,512,540.9,624,1192.8,508.1,536.9,546,797.4
drought,Feb,Santarem,541,547.4,547.7,577.1,660,1228.5,544.2,577.1,589.7,833.1
drought,Mar,Santarem,541,547.4,547.7,577.1,660,1228.5,544.2,577.1,589.7,833.1
drought,Apr,Santarem,539.8,542.7,542.9,546,599.7,1183.7,541.5,546,571.2,831.9
drought,May,Santarem,507.7,510.6,510.7,513.9,567.6,1151.6,509.1,513.9,536.3,799.8
drought,Jun,Santarem,504.1,506.9,506.9,506.5,561.9,1148,505.4,506.5,530.7,796.2
drought,Jul,Santarem,504.1,506.9,506.9,506.5,561.9,1148,505.4,506.5,530.7,796.2
drought,Aug,Santarem,504.1,506.9,506.9,506.5,561.9,1148,505.4,506.5,530.7,796.2
drought,Sep,Santarem,510.7,512.7,512.5,510.7,547.8,1118,511.3,510.7,524.6,668.2
drought,Oct,Santarem,510.7,512.7,512.5,510.7,547.8,1118,511.3,510.7,524.6,668.2
drought,Nov,Santarem,510.7,512.7,512.5,510.7,547.8,1118,511.3,510.7,524.6,668.2
drought,Dec,Santarem,505.3,511.5,512,540.9,624,1192.8,508.1,536.9,546,797.4
