scenario,month,cost_brl_t,days,p_interrupt_pct,port,route
base,Jan,555.2,45.44,9.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Jan,581.1,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Jan,652.7,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
base,Jan,674,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
base,Feb,588.7,48.44,10.16,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Feb,624.5,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Feb,672.2,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
base,Feb,732.5,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
base,Mar,600.2,48.44,10.16,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Mar,639.4,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Mar,678.9,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
base,Mar,752.7,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
base,Apr,588.9,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Apr,624.8,45.29,4.44,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,May,576.6,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,May,608.9,45.29,4.44,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Jun,580,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Jun,613.2,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Jul,582.8,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Jul,616.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Aug,573.8,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Aug,605.3,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Sep,570.4,44.94,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Sep,595,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Oct,553,44.94,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Oct,572.5,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Nov,544.1,44.94,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Nov,560.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Dec,533.9,45.44,9.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
base,Dec,553.6,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
base,Dec,636.9,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
drought,Jan,555.2,45.44,9.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Jan,581.1,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Jan,652.7,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
drought,Jan,674,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
drought,Feb,588.7,48.44,10.16,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Feb,624.5,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Feb,672.2,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
drought,Feb,732.5,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
drought,Mar,600.2,48.44,10.16,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Mar,639.4,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Mar,678.9,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
drought,Mar,752.7,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
drought,Apr,588.9,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Apr,624.8,45.29,4.44,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,May,576.6,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,May,608.9,45.29,4.44,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Jun,580,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Jun,613.2,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Jul,582.8,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Jul,616.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Aug,573.8,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Aug,605.3,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Sep,579.5,46.44,8.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Sep,595,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Oct,562.1,46.44,8.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Oct,572.5,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Nov,553.1,46.44,8.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Nov,560.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Dec,533.9,45.44,9.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Dec,553.6,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Dec,636.9,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
ferrograo,Jan,486.5,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Jan,581.1,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Jan,652.7,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
ferrograo,Jan,674,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
ferrograo,Feb,489.9,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Feb,624.5,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Feb,672.2,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
ferrograo,Feb,732.5,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
ferrograo,Mar,491.1,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Mar,639.4,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Mar,678.9,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
ferrograo,Mar,752.7,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
ferrograo,Apr,489.9,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Apr,588.9,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
