scenario,month,supply_kt,shipped_kt,avg_cost_brl_t,marginal_brl_t,santos_kt,paranagua_kt,santarem_kt,barcarena_kt,itacoatiara_kt,rumo_rail_kt,ferrograo_kt
base,Jan,4000,4000,671.8,709,170,0,890,2150,790,170,0
base,Feb,4000,4000,708,734.5,170,0,890,2150,790,170,0
base,Mar,4000,4000,719.2,741.2,170,0,890,2150,790,170,0
base,Apr,4000,4000,707.1,734.7,170,0,890,2150,790,170,0
base,May,4000,4000,695.2,727.5,170,0,890,2150,790,170,0
base,Jun,4000,4000,694.7,723.4,170,0,890,2150,790,170,0
base,Jul,4000,4000,697.4,725.1,170,0,890,2150,790,170,0
base,Aug,4000,4000,692.3,719.9,960,0,890,2150,0,960,0
base,Sep,4000,4000,695,715.3,1605,0,890,1505,0,1605,0
base,Oct,4000,4000,680.2,705.1,1605,0,890,1505,0,1605,0
base,Nov,4000,4000,672.4,699.5,1605,0,890,1505,0,0,0
base,Dec,4000,4000,650.9,689.7,170,0,890,2150,790,0,0
drought,Jan,4000,4000,671.8,709,170,0,890,2150,790,170,0
drought,Feb,4000,4000,708,734.5,170,0,890,2150,790,170,0
drought,Mar,4000,4000,719.2,741.2,170,0,890,2150,790,170,0
drought,Apr,4000,4000,707.1,734.7,170,0,890,2150,790,170,0
drought,May,4000,4000,695.2,727.5,170,0,890,2150,790,170,0
drought,Jun,4000,4000,694.7,723.4,170,0,890,2150,790,170,0
drought,Jul,4000,4000,697.4,725.1,170,0,890,2150,790,170,0
drought,Aug,4000,4000,692.3,719.9,960,0,890,2150,0,960,0
drought,Sep,4000,4000,705.3,745.6,2250,0,890,860,0,2000,0
drought,Oct,4000,4000,689.6,719.1,2700,0,890,410,0,2000,0
drought,Nov,4000,4000,680.8,710.1,2700,0,890,410,0,0,0
drought,Dec,4000,4000,650.9,689.7,170,0,890,2150,790,0,0
ferrograo,Jan,4000,4000,637.2,709,170,0,890,2150,790,170,2000
ferrograo,Feb,4000,4000,658.4,734.5,170,0,890,2150,790,170,2000
ferrograo,Mar,4000,4000,664.4,741.2,170,0,890,2150,790,170,2000
ferrograo,Apr,4000,4000,658,734.7,170,0,890,2150,790,170,2000
ferrograo,May,4000,4000,651.6,727.5,170,0,890,2150,790,170,2000
ferrograo,Jun,4000,4000,649.6,723.4,170,0,890,2150,790,170,2000
ferrograo,Jul,4000,4000,651.1,725.1,170,0,890,2150,790,170,2000
ferrograo,Aug,4000,4000,650,719.9,960,0,890,2150,0,960,2000
ferrograo,Sep,4000,4000,656.2,715.3,1605,0,890,1505,0,1605,2000
ferrograo,Oct,4000,4000,649.2,705.1,1605,0,890,1505,0,1605,2000
ferrograo,Nov,4000,4000,645.4,699.5,1605,0,890,1505,0,0,2000
ferrograo,Dec,4000,4000,625.8,689.7,170,0,890,2150,790,0,2000
rumo_ext,Jan,4000,4000,671.8,708.9,170,0,890,2150,790,170,0
rumo_ext,Feb,4000,4000,705.8,726.6,830,0,890,1490,790,830,0
rumo_ext,Mar,4000,4000,715,738.1,830,0,890,1490,790,830,0
rumo_ext,Apr,4000,4000,705.1,725.7,830,0,890,1490,790,830,0
rumo_ext,May,4000,4000,694.7,716.7,170,0,890,2150,790,170,0
rumo_ext,Jun,4000,4000,693.8,713.1,830,0,890,1490,790,830,0
rumo_ext,Jul,4000,4000,696.1,715.9,830,0,890,1490,790,830,0
rumo_ext,Aug,4000,4000,690.4,719.9,960,0,890,2150,0,960,0
rumo_ext,Sep,4000,4000,693.9,715.3,1605,0,890,1505,0,1605,0
